Heb	Eng
בלמתם	you m. pl. held back
בלמתם	you m. pl. held back
בלמתן	you f. pl. held back
בלמתן	you f. pl. held back
בלם	he / it held back
בלמה	she / it held back
בלמו	they held back
תבלמי	you f. sg. will hold back
תבלמו	you m. pl. will hold back
יבלמו	they m. will hold back
בלמי!‏	(to a woman) hold back!
בלמו!‏	(to men) hold back!
בולע	I / you m. sg. / he / it swallow(s)
בולעת	I / you f. sg. / she / it swallow(s)
בולעים	we / you m. pl. / they m. swallow
בולעות	we / you f. pl. / they f. swallow
בלעתי	I swallowed
בלענו	we swallowed
בלעת	you m. sg. swallowed
בלעת	you f. sg. swallowed
בלעתם	you m. pl. swallowed
בלעתם	you m. pl. swallowed
בלעתן	you f. pl. swallowed
בלעתן	you f. pl. swallowed
בלע	he / it swallowed
בלעה	she / it swallowed
בלעו	they swallowed
אבלע	I will swallow
נבלע	we will swallow
תבלע	you m. sg. will swallow
תבלעי	you f. sg. will swallow
תבלעו	you m. pl. will swallow
תבלענה	you f. pl. will swallow
תבלעו	you f. pl. will swallow
יבלע	he / it will swallow
תבלע	she / it will swallow
יבלעו	they m. will swallow
תבלענה	they f. will swallow
יבלעו	they f. will swallow
בלע!‏	(to a man) swallow!
בלעי!‏	(to a woman) swallow!
בלעו!‏	(to men) swallow!
בלענה!‏	(to women) swallow!
בלעו!‏	(to women) swallow!
נבלע	I am / you m. sg. are / he / it is swallowed
נבלעת	I am / you f. sg. are / she / it is swallowed
נבלעים	we / you m. pl. / they m. are swallowed
נבלעות	we / you f. pl. / they f. are swallowed
נבלעתי	I was swallowed
נבלענו	we were swallowed
נבלעת	you m. sg. were swallowed
נבלעת	you f. sg. were swallowed
נבלעתם	you m. pl. were swallowed
נבלעתם	you m. pl. were swallowed
נבלעתן	you f. pl. were swallowed
נבלעתן	you f. pl. were swallowed
נבלע	he / it was swallowed
נבלעה	she / it was swallowed
נבלעו	they were swallowed
אבלע	I will be swallowed
אבלע	I will be swallowed
מבלף	I / you m. sg. / he / it bluff(s)
מבלפת	I / you f. sg. / she / it bluff(s)
מבלפים	we / you m. pl. / they m. bluff
מבלפות	we / you f. pl. / they f. bluff
אבלף	I will bluff
נבלף	we will bluff
תבלף	you m. sg. will bluff
תבלפי	you f. sg. will bluff
תבלפו	you m. pl. will bluff
תבלפנה	you f. pl. will bluff
תבלפו	you f. pl. will bluff
יבלף	he / it will bluff
תבלף	she / it will bluff
יבלפו	they m. will bluff
תבלפנה	they f. will bluff
יבלפו	they f. will bluff
בלף!‏	(to a man) bluff!
בלפי!‏	(to a woman) bluff!
בלפו!‏	(to men) bluff!
בלפנה!‏	(to women) bluff!
בלפו!‏	(to women) bluff!
לבלף	to bluff
בלשת	detective service
בלשות	detective services
בלשת	detective service of ...
בלשות	detective services of ...
בלשתי	my detective service
בלשתנו	our detective service
בלשתך	your m. sg. detective service
בלשתך	your f. sg. detective service
בלשתכם	your m. pl. detective service
בלשתכן	your f. pl. detective service
בלשתו	his / its detective service
בלשתה	her / its detective service
בלשתם	their m. detective service
בלשתן	their f. detective service
בלשותינו	our detective services
בלשותיך	your m. sg. detective services
בלשותיכם	your m. pl. detective services
בלשותיכן	your f. pl. detective services
בלשותיו	his / its detective services
בלשותיה	her / its detective services
בלשותיהם	their m. detective services
בלשותיהן	their f. detective services
בלש	detective
בלשים	detectives
בלש	detective of ...
בלשי	detectives of ...
בלשי	my detective
בלשנו	our detective
בלשך	your m. sg. detective
בלשך	your f. sg. detective
בלשכם	your m. pl. detective
בלשכן	your f. pl. detective
בלשו	his / its detective
בלשה	her / its detective
בלשם	their m. detective
בלשן	their f. detective
בלשינו	our detectives
בלשיך	your m. sg. detectives
בלשיכם	your m. pl. detectives
בלשיכן	your f. pl. detectives
בלשיו	his / its detectives
בלשיה	her / its detectives
בלשיהם	their m. detectives
בלשיהן	their f. detectives
בולש	I / you m. sg. / he / it investigate(s)
בולשת	I / you f. sg. / she / it investigate(s)
בולשים	we / you m. pl. / they m. investigate
בולשות	we / you f. pl. / they f. investigate
בלשתי	I investigated
בלשנו	we investigated
בלשת	you m. sg. investigated
בלשת	you f. sg. investigated
בלשתם	you m. pl. investigated
בלשתם	you m. pl. investigated
בלשתן	you f. pl. investigated
בלשתן	you f. pl. investigated
בלש	he / it investigated
בלשה	she / it investigated
בלשו	they investigated
תבלשי	you f. sg. will investigate
תבלשו	you m. pl. will investigate
יבלשו	they m. will investigate
בלשי!‏	(to a woman) investigate!
בלשו!‏	(to men) investigate!
במבוק	bamboo
במבוק	bamboo of ...
במהלכי	during me
במהלכנו	during us
במהלכך	during you m. sg.
במהלכך	during you f. sg.
במהלככם	during you m. pl.
במהלככן	during you f. pl.
במהלכו	during him
במהלכה	during her
במהלכם	during them m.
במהלכן	during them f.
במאי	director
במאים	directors
במאי	director of ...
במאי	directors of ...
במאי	my director
במאנו	our director
במאך	your m. sg. director
במאך	your f. sg. director
במאיכם	your m. pl. director
במאיכן	your f. pl. director
במאו	his / its director
במאה	her / its director
במאם	their m. director
במאן	their f. director
במאינו	our directors
במאיך	your m. sg. directors
במאיכם	your m. pl. directors
במאיכן	your f. pl. directors
במאיו	his / its directors
במאיה	her / its directors
במאיהם	their m. directors
במאיהן	their f. directors
במה	stage
במות	stages
במת	stage of ...
במות	stages of ...
במתי	my stage
במתנו	our stage
במתך	your m. sg. stage
במתך	your f. sg. stage
במתכם	your m. pl. stage
במתכן	your f. pl. stage
במתו	his / its stage
במתה	her / its stage
במתם	their m. stage
במתן	their f. stage
במותינו	our stages
במותיך	your m. sg. stages
במותיכם	your m. pl. stages
במותיכן	your f. pl. stages
במותיו	his / its stages
במותיה	her / its stages
במותיהם	their m. stages
במותיהן	their f. stages
במעמדי	in my presence
במעמדנו	in our presence
במעמדך	in your m. sg. presence
במעמדך	in your f. sg. presence
במעמדכם	in your m. pl. presence
במעמדכן	in your f. pl. presence
במעמדו	in his / its presence
במעמדה	in her / its presence
במעמדם	in their m. presence
במעמדן	in their f. presence
במקומי	instead of me
במקומנו	instead of us
במקומך	instead of you m. sg.
במקומך	instead of you f. sg.
במקומכם	instead of you m. pl.
במקומכן	instead of you f. pl.
במקומו	instead of him
במקומה	instead of her
במקומם	instead of them m.
במקומן	instead of them f.
בן	son
בנים	sons
בן	son of ...
בני	sons of ...
בני	my son
בננו	our son
בנך	your m. sg. son
בנך	your f. sg. son
בנכם	your m. pl. son
בנכן	your f. pl. son
בנו	his / its son
בנה	her / its son
בנם	their m. son
בנן	their f. son
בנינו	our sons
בניך	your m. sg. sons
בניכם	your m. pl. sons
בניכן	your f. pl. sons
בניו	his / its sons
בניה	her / its sons
בניהם	their m. sons
בניהן	their f. sons
בנזין	petrol
בנזין	petrol of ...
בונה	I / you m. sg. / he / it build(s)
בונה	I / you f. sg. / she / it build(s)
בונים	we / you m. pl. / they m. build
בונות	we / you f. pl. / they f. build
בניתי	I built
בנינו	we built
בנית	you m. sg. built
בנית	you f. sg. built
בניתם	you m. pl. built
בניתם	you m. pl. built
בניתן	you f. pl. built
בניתן	you f. pl. built
בנה	he / it built
בנתה	she / it built
בנו	they built
אבנה	I will build
נבנה	we will build
תבנה	you m. sg. will build
תבני	you f. sg. will build
תבנו	you m. pl. will build
תבנינה	you f. pl. will build
תבנו	you f. pl. will build
יבנה	he / it will build
תבנה	she / it will build
יבנו	they m. will build
תבנינה	they f. will build
יבנו	they f. will build
בנה!‏	(to a man) build!
בני!‏	(to a woman) build!
בנו!‏	(to men) build!
בנינה!‏	(to women) build!
בנו!‏	(to women) build!
לבנות	to build
נבנה	I am / you m. sg. are / he / it is built
נבנית	I am / you f. sg. are / she / it is built
נבנים	we / you m. pl. / they m. are built
נבנות	we / you f. pl. / they f. are built
נבניתי	I was built
נבנינו	we were built
נבנית	you m. sg. were built
נבנית	you f. sg. were built
נבניתם	you m. pl. were built
נבניתם	you m. pl. were built
נבניתן	you f. pl. were built
נבניתן	you f. pl. were built
נבנה	he / it was built
נבנתה	she / it was built
נבנו	they were built
אבנה	I will be built
בניות	buildings
בניות	buildings of ...
בניותינו	our buildings
בניותיך	your m. sg. buildings
בניותיכם	your m. pl. buildings
בניותיכן	your f. pl. buildings
בניותיו	his / its buildings
בניותיה	her / its buildings
בניותיהם	their m. buildings
בניותיהן	their f. buildings
בנאי	builder
בנאים	builders
בנאי	builder of ...
בנאי	builders of ...
בנאי	my builder
בנאנו	our builder
בנאך	your m. sg. builder
בנאך	your f. sg. builder
בנאיכם	your m. pl. builder
בנאיכן	your f. pl. builder
בנאו	his / its builder
בנאה	her / its builder
בנאם	their m. builder
בנאן	their f. builder
בנאינו	our builders
בנאיך	your m. sg. builders
בנאיכם	your m. pl. builders
בנאיכן	your f. pl. builders
בנאיו	his / its builders
בנאיה	her / its builders
בנאיהם	their m. builders
בנאיהן	their f. builders
תבנית	form
תבניות	forms
תבנית	form of ...
תבניות	forms of ...
תבניתי	my form
תבניתנו	our form
תבניתך	your m. sg. form
תבניתך	your f. sg. form
תבניתכם	your m. pl. form
תבניתכן	your f. pl. form
תבניתו	his / its form
תבניתה	her / its form
תבניתם	their m. form
תבניתן	their f. form
תבניותינו	our forms
תבניותיך	your m. sg. forms
תבניותיכם	your m. pl. forms
תבניותיכן	your f. pl. forms
תבניותיו	his / its forms
תבניותיה	her / its forms
תבניותיהם	their m. forms
תבניותיהן	their f. forms
מבנה	I / you m. sg. / he / it structure(s)
מבנה	I / you f. sg. / she / it structure(s)
מבנים	we / you m. pl. / they m. structure
מבנות	we / you f. pl. / they f. structure
הבניתי	I structured
הבנינו	we structured
הבנית	you m. sg. structured
הבנית	you f. sg. structured
הבניתם	you m. pl. structured
הבניתם	you m. pl. structured
הבניתן	you f. pl. structured
הבניתן	you f. pl. structured
הבנה	he / it structured
הבנתה	she / it structured
הבנו	they structured
אבנה	I will structure
נבנה	we will structure
תבנה	you m. sg. will structure
תבני	you f. sg. will structure
תבנו	you m. pl. will structure
תבנינה	you f. pl. will structure
תבנו	you f. pl. will structure
יבנה	he / it will structure
תבנה	she / it will structure
יבנו	they m. will structure
תבנינה	they f. will structure
יבנו	they f. will structure
הבנה!‏	(to a man) structure!
הבני!‏	(to a woman) structure!
הבנו!‏	(to men) structure!
הבנינה!‏	(to women) structure!
הבנו!‏	(to women) structure!
להבנות	to structure
בנוי	built, constructed, created; built of, made up of, consists of (מ־)
בנויה	built, constructed, created; built of, made up of, consists of (מ־)
בנויים	built, constructed, created; built of, made up of, consists of (מ־)
בנויות	built, constructed, created; built of, made up of, consists of (מ־)
מבנה	building
מבנים	buildings
מבנה	building of ...
מבני	buildings of ...
מבני	my building
מבננו	our building
מבנך	your m. sg. building
מבנך	your f. sg. building
מבנכם	your m. pl. building
מבנכן	your f. pl. building
מבנו	his / its building
מבנה	her / its building
מבנם	their m. building
מבנן	their f. building
מבנינו	our buildings
מבניך	your m. sg. buildings
מבניכם	your m. pl. buildings
מבניכן	your f. pl. buildings
מבניו	his / its buildings
מבניה	her / its buildings
מבניהם	their m. buildings
מבניהן	their f. buildings
בננה	banana
בננות	bananas
בנק	bank
בנקים	banks
בנק	bank of ...
בנקי	banks of ...
מתבסס	I am / you m. sg. are / he / it is based
מתבססת	I am / you f. sg. are / she / it is based
מתבססים	we / you m. pl. / they m. are based
מתבססות	we / you f. pl. / they f. are based
התבססתי	I was based
התבססנו	we were based
התבססת	you m. sg. were based
התבססת	you f. sg. were based
התבססתם	you m. pl. were based
התבססתם	you m. pl. were based
התבססתן	you f. pl. were based
התבססתן	you f. pl. were based
התבסס	he / it was based
התבססה	she / it was based
התבססו	they were based
אתבסס	I will be based
נתבסס	we will be based
תתבסס	you m. sg. will be based
תתבססי	you f. sg. will be based
תתבססו	you m. pl. will be based
תתבססנה	you f. pl. will be based
תתבססו	you f. pl. will be based
יתבסס	he / it will be based
תתבסס	she / it will be based
יתבססו	they m. will be based
תתבססנה	they f. will be based
יתבססו	they f. will be based
התבסס!‏	(to a man) be based!
התבססי!‏	(to a woman) be based!
התבססו!‏	(to men) be based!
התבססנה!‏	(to women) be based!
התבססו!‏	(to women) be based!
להתבסס	to be based
בסיס	basis
בסיסים	bases
בסיס	basis of ...
בסיסי	bases of ...
בסיסי	my basis
בסיסנו	our basis
בסיסך	your m. sg. basis
בסיסך	your f. sg. basis
בסיסכם	your m. pl. basis
בסיסכן	your f. pl. basis
בסיסו	his / its basis
בסיסה	her / its basis
בסיסם	their m. basis
בסיסן	their f. basis
בסיסינו	our bases
בסיסיך	your m. sg. bases
בסיסיכם	your m. pl. bases
בסיסיכן	your f. pl. bases
בסיסיו	his / its bases
בסיסיה	her / its bases
בסיסיהם	their m. bases
בסיסיהן	their f. bases
בסיסי	basic, main, major, central; basic, alkaline (chemistry)
בסיסית	basic, main, major, central; basic, alkaline (chemistry)
בסיסיים	basic, main, major, central; basic, alkaline (chemistry)
בסיסיות	basic, main, major, central; basic, alkaline (chemistry)
התבססות	reliance
התבססות	reliance of ...
התבססותי	my reliance
התבססותנו	our reliance
התבססותך	your m. sg. reliance
התבססותך	your f. sg. reliance
התבססותכם	your m. pl. reliance
התבססותכן	your f. pl. reliance
התבססותו	his / its reliance
התבססותה	her / its reliance
התבססותם	their m. reliance
התבססותן	their f. reliance
מבסס	I / you m. sg. / he / it establish(es)
מבססת	I / you f. sg. / she / it establish(es)
מבססים	we / you m. pl. / they m. establish
מבססות	we / you f. pl. / they f. establish
אבסס	I will establish
נבסס	we will establish
תבסס	you m. sg. will establish
תבססי	you f. sg. will establish
תבססו	you m. pl. will establish
תבססנה	you f. pl. will establish
תבססו	you f. pl. will establish
יבסס	he / it will establish
תבסס	she / it will establish
יבססו	they m. will establish
תבססנה	they f. will establish
יבססו	they f. will establish
בסס!‏	(to a man) establish!
בססי!‏	(to a woman) establish!
בססו!‏	(to men) establish!
בססנה!‏	(to women) establish!
בססו!‏	(to women) establish!
לבסס	to establish
מבעבע	I / you m. sg. / he / it bubble(s)
מבעבעת	I / you f. sg. / she / it bubble(s)
מבעבעים	we / you m. pl. / they m. bubble
מבעבעות	we / you f. pl. / they f. bubble
בעבעתי	I bubbled
בעבענו	we bubbled
בעבעת	you m. sg. bubbled
בעבעת	you f. sg. bubbled
בעבעתם	you m. pl. bubbled
בעבעתם	you m. pl. bubbled
בעבעתן	you f. pl. bubbled
בעבעתן	you f. pl. bubbled
בעבע	he / it bubbled
בעבע	he / it bubbled
בעבעה	she / it bubbled
בעבעו	they bubbled
אבעבע	I will bubble
אבעבע	I will bubble
נבעבע	we will bubble
נבעבע	we will bubble
תבעבע	you m. sg. will bubble
תבעבע	you m. sg. will bubble
תבעבעי	you f. sg. will bubble
תבעבעו	you m. pl. will bubble
תבעבענה	you f. pl. will bubble
תבעבעו	you f. pl. will bubble
יבעבע	he / it will bubble
יבעבע	he / it will bubble
תבעבע	she / it will bubble
תבעבע	she / it will bubble
יבעבעו	they m. will bubble
תבעבענה	they f. will bubble
יבעבעו	they f. will bubble
בעבע!‏	(to a man) bubble!
בעבע!‏	(to a man) bubble!
בעבעי!‏	(to a woman) bubble!
בעבעו!‏	(to men) bubble!
בעבענה!‏	(to women) bubble!
בעבעו!‏	(to women) bubble!
לבעבע	to bubble
בעדי	for me
בעדנו	for us
בעדך	for you m. sg.
בעדך	for you f. sg.
בעדכם	for you m. pl.
בעדכן	for you f. pl.
בעדו	for him
בעדה	for her
בעדם	for them m.
בעדן	for them f.
בועט	I / you m. sg. / he / it kick(s)
בועטת	I / you f. sg. / she / it kick(s)
בועטים	we / you m. pl. / they m. kick
בועטות	we / you f. pl. / they f. kick
בעטתי	I kicked
בעטנו	we kicked
בעטת	you m. sg. kicked
בעטת	you f. sg. kicked
בעטתם	you m. pl. kicked
בעטתם	you m. pl. kicked
בעטתן	you f. pl. kicked
בעטתן	you f. pl. kicked
בעט	he / it kicked
בעטה	she / it kicked
בעטו	they kicked
אבעט	I will kick
נבעט	we will kick
תבעט	you m. sg. will kick
תבעטי	you f. sg. will kick
תבעטו	you m. pl. will kick
תבעטנה	you f. pl. will kick
תבעטו	you f. pl. will kick
יבעט	he / it will kick
תבעט	she / it will kick
יבעטו	they m. will kick
תבעטנה	they f. will kick
יבעטו	they f. will kick
בעט!‏	(to a man) kick!
בעטי!‏	(to a woman) kick!
בעטו!‏	(to men) kick!
בעטנה!‏	(to women) kick!
בעטו!‏	(to women) kick!
נבעט	I am / you m. sg. are / he / it is kicked
נבעטת	I am / you f. sg. are / she / it is kicked
נבעטים	we / you m. pl. / they m. are kicked
נבעטות	we / you f. pl. / they f. are kicked
נבעטתי	I was kicked
נבעטנו	we were kicked
נבעטת	you m. sg. were kicked
נבעטת	you f. sg. were kicked
נבעטתם	you m. pl. were kicked
נבעטתם	you m. pl. were kicked
נבעטתן	you f. pl. were kicked
נבעטתן	you f. pl. were kicked
נבעט	he / it was kicked
נבעטה	she / it was kicked
נבעטו	they were kicked
אבעט	I will be kicked
נבעה	I am / you m. sg. are / he / it is revealed
נבעית	I am / you f. sg. are / she / it is revealed
נבעים	we / you m. pl. / they m. are revealed
נבעות	we / you f. pl. / they f. are revealed
נבעיתי	I was revealed
נבעינו	we were revealed
נבעית	you m. sg. were revealed
נבעית	you f. sg. were revealed
נבעיתם	you m. pl. were revealed
נבעיתם	you m. pl. were revealed
נבעיתן	you f. pl. were revealed
נבעיתן	you f. pl. were revealed
נבעה	he / it was revealed
נבעתה	she / it was revealed
נבעו	they were revealed
אבעה	I will be revealed
בעיה	problem
בעיות	problems
בעיות	problems of ...
בעיותינו	our problems
בעיותיך	your m. sg. problems
בעיותיכם	your m. pl. problems
בעיותיכן	your f. pl. problems
בעיותיו	his / its problems
בעיותיה	her / its problems
בעיותיהם	their m. problems
בעיותיהן	their f. problems
בעל	master
בעלים	masters
בעל	master of ...
בעלי	masters of ...
בעלי	my master
בעלנו	our master
בעלך	your m. sg. master
בעלך	your f. sg. master
בעלכם	your m. pl. master
בעלכן	your f. pl. master
בעלו	his / its master
בעלה	her / its master
בעלם	their m. master
בעלן	their f. master
בעלינו	our masters
בעליך	your m. sg. masters
בעליכם	your m. pl. masters
בעליכן	your f. pl. masters
בעליו	his / its masters
בעליה	her / its masters
בעליהם	their m. masters
בעליהן	their f. masters
בועל	I / you m. sg. / he / it have (has) sex
בועלת	I / you f. sg. / she / it have (has) sex
בועלים	we / you m. pl. / they m. have sex
בועלות	we / you f. pl. / they f. have sex
בעלתי	I had sex
בעלנו	we had sex
בעלת	you m. sg. had sex
בעלת	you f. sg. had sex
בעלתם	you m. pl. had sex
בעלתם	you m. pl. had sex
בעלתן	you f. pl. had sex
בעלתן	you f. pl. had sex
בעל	he / it had sex
בעלה	she / it had sex
בעלו	they had sex
אבעל	I will have sex
נבעל	we will have sex
תבעל	you m. sg. will have sex
תבעלי	you f. sg. will have sex
תבעלו	you m. pl. will have sex
תבעלנה	you f. pl. will have sex
תבעלו	you f. pl. will have sex
יבעל	he / it will have sex
תבעל	she / it will have sex
יבעלו	they m. will have sex
תבעלנה	they f. will have sex
יבעלו	they f. will have sex
בעל!‏	(to a man) have sex!
בעלי!‏	(to a woman) have sex!
בעלו!‏	(to men) have sex!
בעלנה!‏	(to women) have sex!
בעלו!‏	(to women) have sex!
בעקבינו	following us
בעקביך	following you m. sg.
בעקביכם	following you m. pl.
בעקביכן	following you f. pl.
בעקביו	following him
בעקביה	following her
בעקביהם	following them m.
בעקביהן	following them f.
בוער	I / you m. sg. / he / it burn(s)
בוערת	I / you f. sg. / she / it burn(s)
בוערים	we / you m. pl. / they m. burn
בוערות	we / you f. pl. / they f. burn
בערתי	I burnt
בערנו	we burnt
בערת	you m. sg. burnt
בערת	you f. sg. burnt
בערתם	you m. pl. burnt
בערתם	you m. pl. burnt
בערתן	you f. pl. burnt
בערתן	you f. pl. burnt
בער	he / it burnt
בערה	she / it burnt
בערו	they burnt
אבער	I will burn
נבער	we will burn
תבער	you m. sg. will burn
תבערי	you f. sg. will burn
תבערו	you m. pl. will burn
תבערנה	you f. pl. will burn
תבערו	you f. pl. will burn
יבער	he / it will burn
תבער	she / it will burn
יבערו	they m. will burn
תבערנה	they f. will burn
יבערו	they f. will burn
בער!‏	(to a man) burn!
בערי!‏	(to a woman) burn!
בערו!‏	(to men) burn!
בערנה!‏	(to women) burn!
בערו!‏	(to women) burn!
מבער	burner
מבערים	burners
מבער	burner of ...
מבערי	burners of ...
מבערי	my burner
מבערנו	our burner
מבערך	your m. sg. burner
מבערך	your f. sg. burner
מבערכם	your m. pl. burner
מבערכן	your f. pl. burner
מבערו	his / its burner
מבערה	her / its burner
מבערם	their m. burner
מבערן	their f. burner
מבערינו	our burners
מבעריך	your m. sg. burners
מבעריכם	your m. pl. burners
מבעריכן	your f. pl. burners
מבעריו	his / its burners
מבעריה	her / its burners
מבעריהם	their m. burners
מבעריהן	their f. burners
מבעיר	I / you m. sg. / he / it burn(s)
מבעירה	I / you f. sg. / she / it burn(s)
מבעירים	we / you m. pl. / they m. burn
מבעירות	we / you f. pl. / they f. burn
הבערתי	I burnt
הבערנו	we burnt
הבערת	you m. sg. burnt
הבערת	you f. sg. burnt
הבערתם	you m. pl. burnt
הבערתם	you m. pl. burnt
הבערתן	you f. pl. burnt
הבערתן	you f. pl. burnt
הבעיר	he / it burnt
הבעירה	she / it burnt
הבעירו	they burnt
אבעיר	I will burn
נבעיר	we will burn
תבעיר	you m. sg. will burn
תבעירי	you f. sg. will burn
תבעירו	you m. pl. will burn
תבערנה	you f. pl. will burn
תבעירו	you f. pl. will burn
יבעיר	he / it will burn
תבעיר	she / it will burn
יבעירו	they m. will burn
תבערנה	they f. will burn
יבעירו	they f. will burn
הבער!‏	(to a man) burn!
הבעירי!‏	(to a woman) burn!
הבעירו!‏	(to men) burn!
הבערנה!‏	(to women) burn!
הבעירו!‏	(to women) burn!
להבעיר	to burn
מבער	I / you m. sg. / he / it exterminate(s)
מבערת	I / you f. sg. / she / it exterminate(s)
מבערים	we / you m. pl. / they m. exterminate
מבערות	we / you f. pl. / they f. exterminate
אבער	I will exterminate
נבער	we will exterminate
תבער	you m. sg. will exterminate
תבערי	you f. sg. will exterminate
תבערו	you m. pl. will exterminate
תבערנה	you f. pl. will exterminate
תבערו	you f. pl. will exterminate
יבער	he / it will exterminate
תבער	she / it will exterminate
יבערו	they m. will exterminate
תבערנה	they f. will exterminate
יבערו	they f. will exterminate
בער!‏	(to a man) exterminate!
בערי!‏	(to a woman) exterminate!
בערו!‏	(to men) exterminate!
בערנה!‏	(to women) exterminate!
בערו!‏	(to women) exterminate!
לבער	to exterminate
תבערה	conflagration
תבערות	conflagrations
תבערת	conflagration of ...
תבערות	conflagrations of ...
תבערתי	my conflagration
תבערתנו	our conflagration
תבערתך	your m. sg. conflagration
תבערתך	your f. sg. conflagration
תבערתכם	your m. pl. conflagration
תבערתכן	your f. pl. conflagration
תבערתו	his / its conflagration
תבערתה	her / its conflagration
תבערתם	their m. conflagration
תבערתן	their f. conflagration
תבערותינו	our conflagrations
תבערותיך	your m. sg. conflagrations
תבערותיכם	your m. pl. conflagrations
תבערותיכן	your f. pl. conflagrations
תבערותיו	his / its conflagrations
תבערותיה	her / its conflagrations
תבערותיהם	their m. conflagrations
תבערותיהן	their f. conflagrations
בעת	phobia
בעתים	phobias
בעת	phobia of ...
בעתי	phobias of ...
בעתי	my phobia
בעתנו	our phobia
בעתך	your m. sg. phobia
בעתך	your f. sg. phobia
בעתכם	your m. pl. phobia
בעתכן	your f. pl. phobia
בעתו	his / its phobia
בעתה	her / its phobia
בעתם	their m. phobia
בעתן	their f. phobia
בעתינו	our phobias
בעתיך	your m. sg. phobias
בעתיכם	your m. pl. phobias
בעתיכן	your f. pl. phobias
בעתיו	his / its phobias
בעתיה	her / its phobias
בעתיהם	their m. phobias
בעתיהן	their f. phobias
נבעת	I am / you m. sg. are / he / it is terrified
נבעתת	I am / you f. sg. are / she / it is terrified
נבעתים	we / you m. pl. / they m. are terrified
נבעתות	we / you f. pl. / they f. are terrified
נבעתי	I was terrified
נבעתנו	we were terrified
נבעת	you m. sg. were terrified
נבעת	you f. sg. were terrified
נבעתם	you m. pl. were terrified
נבעתם	you m. pl. were terrified
נבעתן	you f. pl. were terrified
נבעתן	you f. pl. were terrified
נבעת	he / it was terrified
נבעתה	she / it was terrified
נבעתו	they were terrified
אבעת	I will be terrified
מבעית	I / you m. sg. / he / it frighten(s)
מבעיתה	I / you f. sg. / she / it frighten(s)
מבעיתים	we / you m. pl. / they m. frighten
מבעיתות	we / you f. pl. / they f. frighten
הבעתי	I frightened
הבעתנו	we frightened
הבעת	you m. sg. frightened
הבעת	you f. sg. frightened
הבעתם	you m. pl. frightened
הבעתם	you m. pl. frightened
הבעתן	you f. pl. frightened
הבעתן	you f. pl. frightened
הבעית	he / it frightened
הבעיתה	she / it frightened
הבעיתו	they frightened
אבעית	I will frighten
נבעית	we will frighten
תבעית	you m. sg. will frighten
תבעיתי	you f. sg. will frighten
תבעיתו	you m. pl. will frighten
תבעתנה	you f. pl. will frighten
תבעיתו	you f. pl. will frighten
יבעית	he / it will frighten
תבעית	she / it will frighten
יבעיתו	they m. will frighten
תבעתנה	they f. will frighten
יבעיתו	they f. will frighten
הבעת!‏	(to a man) frighten!
הבעיתי!‏	(to a woman) frighten!
הבעיתו!‏	(to men) frighten!
הבעתנה!‏	(to women) frighten!
הבעיתו!‏	(to women) frighten!
להבעית	to frighten
בפנינו	facing us
בפניך	facing you m. sg.
בפניכם	facing you m. pl.
בפניכן	facing you f. pl.
בפניו	facing him
בפניה	facing her
בפניהם	facing them m.
בפניהן	facing them f.
מבצבץ	I / you m. sg. / he / it stick(s) out
מבצבצת	I / you f. sg. / she / it stick(s) out
מבצבצים	we / you m. pl. / they m. stick out
מבצבצות	we / you f. pl. / they f. stick out
בצבצתי	I stuck out
בצבצנו	we stuck out
בצבצת	you m. sg. stuck out
בצבצת	you f. sg. stuck out
בצבצתם	you m. pl. stuck out
בצבצתם	you m. pl. stuck out
בצבצתן	you f. pl. stuck out
בצבצתן	you f. pl. stuck out
בצבץ	he / it stuck out
בצבצה	she / it stuck out
בצבצו	they stuck out
אבצבץ	I will stick out
נבצבץ	we will stick out
תבצבץ	you m. sg. will stick out
תבצבצי	you f. sg. will stick out
תבצבצו	you m. pl. will stick out
תבצבצנה	you f. pl. will stick out
תבצבצו	you f. pl. will stick out
יבצבץ	he / it will stick out
תבצבץ	she / it will stick out
יבצבצו	they m. will stick out
תבצבצנה	they f. will stick out
יבצבצו	they f. will stick out
בצבץ!‏	(to a man) stick out!
בצבצי!‏	(to a woman) stick out!
בצבצו!‏	(to men) stick out!
בצבצנה!‏	(to women) stick out!
בצבצו!‏	(to women) stick out!
לבצבץ	to stick out
בצל	onion
בצלים	onions
בצל	onion of ...
בצלי	onions of ...
בצלי	my onion
בצלנו	our onion
בצלך	your m. sg. onion
בצלך	your f. sg. onion
בצלכם	your m. pl. onion
בצלכן	your f. pl. onion
בצלו	his / its onion
בצלה	her / its onion
בצלם	their m. onion
בצלן	their f. onion
בצלינו	our onions
בצליך	your m. sg. onions
בצליכם	your m. pl. onions
בצליכן	your f. pl. onions
בצליו	his / its onions
בצליה	her / its onions
בצליהם	their m. onions
בצליהן	their f. onions
מבצע	I / you m. sg. / he / it perform(s)
מבצעת	I / you f. sg. / she / it perform(s)
מבצעים	we / you m. pl. / they m. perform
מבצעות	we / you f. pl. / they f. perform
אבצע	I will perform
אבצע	I will perform
נבצע	we will perform
נבצע	we will perform
תבצע	you m. sg. will perform
תבצע	you m. sg. will perform
תבצעי	you f. sg. will perform
תבצעו	you m. pl. will perform
תבצענה	you f. pl. will perform
תבצעו	you f. pl. will perform
יבצע	he / it will perform
יבצע	he / it will perform
תבצע	she / it will perform
תבצע	she / it will perform
